epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,188.125,1.5927,1.09035,0.96172,0.62052,0.47228,0.48555,0.23546,1.54195,0.80727,0.88991,0.00998967,0.00332989,0.00998967,0.00332989,0.00998967,0.00332989,0.00998967,0.00332989
2,320.907,1.58125,0.89994,0.93133,0.614,0.4803,0.5023,0.24509,1.54223,0.81065,0.89093,0.0197918,0.00659726,0.0197918,0.00659726,0.0197918,0.00659726,0.0197918,0.00659726
3,440.45,1.6472,0.94352,0.94162,0.58323,0.47234,0.47686,0.22987,1.59232,0.86201,0.90798,0.0293959,0.00979862,0.0293959,0.00979862,0.0293959,0.00979862,0.0293959,0.00979862
4,555.148,1.64925,0.94144,0.947,0.62032,0.47472,0.4926,0.24054,1.55562,0.80851,0.89829,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,670.124,1.60989,0.90471,0.93673,0.61769,0.49833,0.51006,0.2505,1.54836,0.79234,0.89888,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,785.035,1.56718,0.86796,0.92621,0.63472,0.51383,0.52882,0.26116,1.49418,0.75923,0.88812,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,899.07,1.53474,0.84381,0.91789,0.65148,0.50933,0.53491,0.26532,1.4911,0.75761,0.88258,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1013.39,1.51664,0.82655,0.91681,0.65662,0.52214,0.54164,0.27165,1.48016,0.74227,0.88156,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1128.29,1.50226,0.81683,0.91116,0.68828,0.51744,0.55466,0.28065,1.45483,0.72325,0.87997,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1242.91,1.48216,0.7957,0.90864,0.66747,0.53559,0.55982,0.28155,1.45679,0.72278,0.87667,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,1357.74,1.46736,0.78391,0.90402,0.67264,0.53828,0.56619,0.28561,1.44133,0.71131,0.87439,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,1472.24,1.46206,0.77467,0.90087,0.68386,0.53886,0.57079,0.28871,1.43245,0.70484,0.87191,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,1586.32,1.4431,0.76237,0.89793,0.68603,0.54244,0.57572,0.29443,1.42669,0.70124,0.87405,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,1700.87,1.43532,0.75815,0.89773,0.69336,0.55335,0.58079,0.29807,1.41472,0.69881,0.87021,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,1815.1,1.42531,0.74961,0.89553,0.68654,0.55004,0.5794,0.29758,1.41634,0.69056,0.87258,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
