epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.9028,1.66598,1.16883,0.97768,0.52399,0.42174,0.41297,0.19315,1.65461,0.92511,0.92059,0.000474928,0.000474928,0.000474928
2,87.528,1.69465,1.0589,0.9741,0.49895,0.41192,0.40662,0.18937,1.68796,1.00137,0.93152,0.000904174,0.000904174,0.000904174
3,127.466,1.68516,1.0323,0.96683,0.53128,0.41298,0.41004,0.19383,1.65607,0.94558,0.92264,0.00128626,0.00128626,0.00128626
4,168.442,1.64044,0.9928,0.95682,0.53573,0.45171,0.43883,0.20866,1.61185,0.8909,0.9136,0.00121679,0.00121679,0.00121679
5,209.388,1.63826,0.96259,0.94769,0.57792,0.4628,0.47078,0.22552,1.61406,0.84417,0.9116,0.00114606,0.00114606,0.00114606
6,249.89,1.58645,0.92042,0.93855,0.61473,0.47814,0.48922,0.23426,1.57707,0.81928,0.9041,0.00107532,0.00107532,0.00107532
7,290.167,1.57166,0.90084,0.93234,0.60694,0.47982,0.48294,0.23366,1.57535,0.81209,0.90575,0.00100459,0.00100459,0.00100459
8,330.398,1.5632,0.8841,0.93014,0.6219,0.48335,0.50114,0.2437,1.5255,0.79744,0.89317,0.000933851,0.000933851,0.000933851
9,370.612,1.52791,0.86141,0.9218,0.60573,0.48946,0.49841,0.24727,1.53673,0.818,0.89162,0.000863116,0.000863116,0.000863116
10,410.792,1.52119,0.84723,0.92047,0.63423,0.4901,0.51133,0.24946,1.52675,0.77456,0.89063,0.00079238,0.00079238,0.00079238
11,452.566,1.49255,0.84111,0.92789,0.62504,0.49679,0.51354,0.25074,1.53236,0.79504,0.89206,0.000721645,0.000721645,0.000721645
12,492.488,1.47606,0.82617,0.92605,0.62318,0.49737,0.51451,0.24705,1.54707,0.78824,0.88975,0.000650909,0.000650909,0.000650909
13,532.115,1.45776,0.80061,0.92317,0.6085,0.49695,0.5093,0.25116,1.50931,0.76481,0.88778,0.000580174,0.000580174,0.000580174
14,571.915,1.44185,0.78563,0.91374,0.65068,0.5113,0.53296,0.26575,1.48454,0.74504,0.88416,0.000509438,0.000509438,0.000509438
15,612.003,1.42614,0.77377,0.9148,0.64714,0.52056,0.53588,0.27052,1.46744,0.73198,0.88241,0.000438703,0.000438703,0.000438703
16,652.115,1.40729,0.75082,0.90741,0.64785,0.51794,0.53806,0.27089,1.4684,0.72871,0.88003,0.000367967,0.000367967,0.000367967
17,691.62,1.40413,0.74156,0.90494,0.66565,0.52411,0.54593,0.27788,1.44379,0.71292,0.87779,0.000297232,0.000297232,0.000297232
18,731.494,1.37121,0.7147,0.89716,0.6709,0.52857,0.554,0.28136,1.441,0.70886,0.87665,0.000226497,0.000226497,0.000226497
19,771.384,1.35502,0.70069,0.8953,0.66124,0.53424,0.55855,0.2842,1.43051,0.69906,0.8748,0.000155761,0.000155761,0.000155761
20,810.275,1.34472,0.68542,0.8918,0.67698,0.54038,0.56626,0.28991,1.42207,0.69162,0.87271,8.50255e-05,8.50255e-05,8.50255e-05
