epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.8591,2.02596,1.98447,1.04332,0.35773,0.29449,0.24843,0.11141,2.04203,1.3443,0.95791,0.000473531,0.000473531,0.000473531
2,51.1727,1.93206,1.32693,1.00356,0.41998,0.33376,0.29823,0.1309,1.9858,1.19079,0.94983,0.000902846,0.000902846,0.000902846
3,72.9775,1.90316,1.25967,0.98679,0.43781,0.33228,0.30865,0.13837,1.93492,1.24121,0.94165,0.001285,0.001285,0.001285
4,94.3912,1.87763,1.20287,0.9821,0.43981,0.34731,0.31743,0.13833,1.93225,1.14507,0.94887,0.00121679,0.00121679,0.00121679
5,116.158,1.85833,1.16424,0.97154,0.43078,0.37505,0.34164,0.15259,1.87303,1.08063,0.93691,0.00114606,0.00114606,0.00114606
6,137.454,1.82177,1.13202,0.96594,0.45839,0.38246,0.35524,0.15662,1.86427,1.06219,0.9326,0.00107532,0.00107532,0.00107532
7,159.127,1.80336,1.11038,0.95841,0.48069,0.39727,0.37851,0.17036,1.81725,1.02063,0.92063,0.00100459,0.00100459,0.00100459
8,180.722,1.7726,1.08149,0.95649,0.49922,0.39154,0.37748,0.17217,1.80614,0.99276,0.92111,0.000933851,0.000933851,0.000933851
9,201.939,1.76423,1.05526,0.95063,0.50112,0.40822,0.3922,0.17836,1.77011,0.96883,0.91413,0.000863116,0.000863116,0.000863116
10,223.103,1.74528,1.048,0.94663,0.50956,0.40641,0.38691,0.18002,1.75469,0.96201,0.91486,0.00079238,0.00079238,0.00079238
11,246.083,1.67698,1.03347,0.95187,0.45406,0.40159,0.37863,0.1725,1.75633,1.03154,0.91061,0.000721645,0.000721645,0.000721645
12,267.165,1.67977,1.01937,0.9493,0.49114,0.41402,0.39191,0.17977,1.77859,1.01222,0.91013,0.000650909,0.000650909,0.000650909
13,287.907,1.65103,0.99378,0.94504,0.50202,0.42072,0.40956,0.18945,1.72529,0.94646,0.90825,0.000580174,0.000580174,0.000580174
14,308.786,1.63899,0.97589,0.93914,0.51843,0.41393,0.40602,0.18974,1.72803,0.94195,0.90668,0.000509438,0.000509438,0.000509438
15,329.697,1.62811,0.96256,0.93873,0.52721,0.43079,0.41944,0.19714,1.69956,0.91226,0.90551,0.000438703,0.000438703,0.000438703
16,350.387,1.61815,0.939,0.93279,0.53383,0.42806,0.41478,0.19381,1.71283,0.92491,0.90394,0.000367967,0.000367967,0.000367967
17,371.36,1.6048,0.93475,0.92993,0.54426,0.43363,0.42712,0.20151,1.68703,0.89446,0.90111,0.000297232,0.000297232,0.000297232
18,392.232,1.58472,0.91174,0.92518,0.53647,0.43849,0.4273,0.20116,1.68613,0.90674,0.89827,0.000226497,0.000226497,0.000226497
19,413.3,1.57844,0.90375,0.92535,0.55252,0.43265,0.43255,0.20535,1.67096,0.87989,0.89763,0.000155761,0.000155761,0.000155761
20,434.021,1.55952,0.88593,0.91799,0.54979,0.43886,0.43654,0.20677,1.66506,0.88257,0.89571,8.50255e-05,8.50255e-05,8.50255e-05
