epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.6063,2.04566,2.00511,1.05006,0.37577,0.29992,0.25327,0.11315,2.02811,1.3554,0.95795,0.000473531,0.000473531,0.000473531
2,49.1397,1.95829,1.35522,1.01079,0.44147,0.3429,0.30914,0.13608,1.95878,1.17865,0.95346,0.000902846,0.000902846,0.000902846
3,71.5138,1.935,1.29086,0.99467,0.43357,0.35675,0.3218,0.13786,1.93137,1.25016,0.94389,0.001285,0.001285,0.001285
4,93.372,1.90372,1.23171,0.98897,0.43148,0.36774,0.32302,0.14139,1.89186,1.10951,0.94384,0.00121679,0.00121679,0.00121679
5,115.504,1.89115,1.19792,0.98082,0.44565,0.36355,0.33494,0.15067,1.88944,1.10576,0.94032,0.00114606,0.00114606,0.00114606
6,137.755,1.84314,1.15318,0.97188,0.44549,0.38771,0.35975,0.16104,1.84734,1.07539,0.92575,0.00107532,0.00107532,0.00107532
7,160.321,1.83988,1.14526,0.96805,0.49551,0.38905,0.37564,0.16922,1.80551,1.01391,0.92318,0.00100459,0.00100459,0.00100459
8,182.302,1.8029,1.10999,0.964,0.49195,0.39175,0.3737,0.16927,1.81337,1.00578,0.91939,0.000933851,0.000933851,0.000933851
9,204.286,1.79388,1.08389,0.95823,0.50839,0.40893,0.39457,0.17734,1.76469,0.98284,0.91624,0.000863116,0.000863116,0.000863116
10,226.119,1.77661,1.07582,0.95384,0.49943,0.40728,0.38326,0.17555,1.78236,0.97557,0.92136,0.00079238,0.00079238,0.00079238
11,249.933,1.71226,1.06901,0.96059,0.4765,0.39835,0.38221,0.1737,1.77418,1.00697,0.91432,0.000721645,0.000721645,0.000721645
12,271.438,1.71061,1.04905,0.95676,0.46979,0.40017,0.37512,0.16567,1.84776,1.02919,0.92076,0.000650909,0.000650909,0.000650909
13,293.118,1.69398,1.02321,0.95395,0.48865,0.41463,0.39703,0.18237,1.7387,0.95983,0.9081,0.000580174,0.000580174,0.000580174
14,314.49,1.66994,1.00418,0.94709,0.52441,0.41804,0.41039,0.19034,1.72523,0.93653,0.90594,0.000509438,0.000509438,0.000509438
15,335.82,1.65468,0.9975,0.94483,0.51085,0.41766,0.4075,0.19115,1.71883,0.92432,0.90447,0.000438703,0.000438703,0.000438703
16,357.266,1.64875,0.96989,0.9398,0.51637,0.42392,0.41271,0.19072,1.73403,0.92967,0.90612,0.000367967,0.000367967,0.000367967
17,378.839,1.63896,0.96399,0.93781,0.53618,0.42903,0.42047,0.1977,1.69688,0.9138,0.90232,0.000297232,0.000297232,0.000297232
18,400.235,1.61118,0.94142,0.93271,0.5371,0.43481,0.42413,0.19903,1.69019,0.90988,0.89897,0.000226497,0.000226497,0.000226497
19,421.481,1.60605,0.93364,0.93182,0.53819,0.43233,0.42858,0.20328,1.67505,0.88785,0.89794,0.000155761,0.000155761,0.000155761
20,442.545,1.59085,0.91508,0.92523,0.53588,0.4363,0.43106,0.20508,1.66473,0.8883,0.89586,8.50255e-05,8.50255e-05,8.50255e-05
