epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.7385,1.79291,1.34062,1.01403,0.45071,0.38078,0.34129,0.14397,1.81628,1.07814,0.95031,0.000474226,0.000474226,0.000474226
2,59.9262,1.74072,1.09389,0.9675,0.51534,0.4072,0.39631,0.18031,1.75802,1.0008,0.93006,0.000903506,0.000903506,0.000903506
3,86.794,1.75623,1.06604,0.96398,0.52767,0.40552,0.40407,0.18629,1.72284,0.97936,0.91917,0.00128563,0.00128563,0.00128563
4,113.627,1.71632,1.04038,0.95247,0.50992,0.42902,0.41533,0.18788,1.75521,0.96474,0.92023,0.00121679,0.00121679,0.00121679
5,140.503,1.71042,1.02124,0.94834,0.51959,0.43145,0.42503,0.19836,1.69212,0.92613,0.90762,0.00114606,0.00114606,0.00114606
6,167.266,1.68725,0.98931,0.9402,0.57301,0.42643,0.43632,0.20666,1.66399,0.90031,0.90653,0.00107532,0.00107532,0.00107532
7,193.785,1.65131,0.96214,0.9375,0.57792,0.45666,0.45875,0.21838,1.62867,0.86054,0.90039,0.00100459,0.00100459,0.00100459
8,220.857,1.63084,0.93567,0.92699,0.57739,0.46005,0.46492,0.22003,1.62862,0.86544,0.89649,0.000933851,0.000933851,0.000933851
9,247.382,1.59354,0.91492,0.92411,0.58453,0.46147,0.46512,0.21837,1.61839,0.85625,0.89399,0.000863116,0.000863116,0.000863116
10,273.818,1.60369,0.90487,0.91777,0.57474,0.45396,0.46244,0.22382,1.58103,0.82985,0.89352,0.00079238,0.00079238,0.00079238
11,302.092,1.56105,0.90013,0.92904,0.59188,0.45782,0.46877,0.22139,1.61795,0.85142,0.89419,0.000721645,0.000721645,0.000721645
12,327.96,1.54945,0.8846,0.92495,0.55738,0.46093,0.46019,0.217,1.62563,0.85521,0.89374,0.000650909,0.000650909,0.000650909
13,353.746,1.51896,0.85264,0.92063,0.60596,0.46451,0.48194,0.23245,1.58059,0.8158,0.88959,0.000580174,0.000580174,0.000580174
14,380.196,1.50263,0.83522,0.9135,0.60733,0.47237,0.48803,0.23684,1.57829,0.81486,0.88845,0.000509438,0.000509438,0.000509438
15,406.651,1.49129,0.83126,0.91084,0.61876,0.4854,0.49882,0.24282,1.55217,0.79033,0.88581,0.000438703,0.000438703,0.000438703
16,432.846,1.46596,0.80347,0.90789,0.61761,0.48557,0.50073,0.24581,1.5388,0.78858,0.87951,0.000367967,0.000367967,0.000367967
17,459.017,1.46941,0.79804,0.90381,0.62259,0.48419,0.50323,0.24956,1.52359,0.77072,0.88095,0.000297232,0.000297232,0.000297232
18,485.05,1.44057,0.77505,0.8987,0.62262,0.49646,0.51116,0.25329,1.51674,0.77029,0.87825,0.000226497,0.000226497,0.000226497
19,511.028,1.42443,0.75866,0.89321,0.63802,0.4954,0.51793,0.25844,1.50501,0.7563,0.87421,0.000155761,0.000155761,0.000155761
20,537.276,1.41545,0.74889,0.89297,0.64109,0.5002,0.52142,0.25936,1.50275,0.75315,0.87463,8.50255e-05,8.50255e-05,8.50255e-05
